learning
6,0.018121957778930664
7,0.02409839630126953
8,0.024219989776611328
9,0.01925492286682129
10,0.017031431198120117
11,0.020633459091186523
12,0.018607139587402344
13,0.02390003204345703
14,0.027623414993286133
15,0.028338909149169922
16,0.026992321014404297
17,0.026146888732910156
predict
6,5.247592926025391
7,3.999948501586914
8,0.0
9,2.0890235900878906
10,2.6938915252685547
11,2.001047134399414
12,4.001855850219727
13,3.999948501586914
14,5.450963973999023
15,4.101037979125977
16,3.5996437072753906
17,2.878904342651367
